outcome,area,country,region,source_country_name,model_source,source_model_file
maternal_deaths,68,Ghana,African Region,Ghana,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-68-01-01-2019.csv
maternal_deaths,69,Greece,European Region,Greece,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-69-01-01-2019.csv
maternal_deaths,70,Grenada,Region of the Americas,Grenada,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-70-01-01-2019.csv
maternal_deaths,71,Guatemala,Region of the Americas,Guatemala,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-71-01-01-2019.csv
maternal_deaths,72,Guinea,African Region,Guinea,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-72-01-01-2019.csv
maternal_deaths,73,Guinea-Bissau,African Region,Guinea-Bissau,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-73-01-01-2019.csv
maternal_deaths,74,Guyana,Region of the Americas,Guyana,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-74-01-01-2019.csv
maternal_deaths,75,Haiti,Region of the Americas,Haiti,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-75-01-01-2019.csv
maternal_deaths,76,Honduras,Region of the Americas,Honduras,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-76-01-01-2019.csv
maternal_deaths,77,Hungary,European Region,Hungary,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-77-01-01-2019.csv
maternal_deaths,78,Iceland,European Region,Iceland,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-78-01-01-2019.csv
maternal_deaths,79,India,Southeast Asia Region,India,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-79-01-01-2019.csv
maternal_deaths,80,Indonesia,Southeast Asia Region,Indonesia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-80-01-01-2019.csv
maternal_deaths,81,Iran,Eastern Mediterranean,Iran (Islamic Republic of),ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-81-01-01-2019.csv
maternal_deaths,82,Iraq,Eastern Mediterranean,Iraq,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-82-01-01-2019.csv
maternal_deaths,83,Ireland,European Region,Ireland,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-83-01-01-2019.csv
maternal_deaths,84,Israel,European Region,Israel,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-84-01-01-2019.csv
maternal_deaths,85,Italy,European Region,Italy,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-85-01-01-2019.csv
maternal_deaths,86,Jamaica,Region of the Americas,Jamaica,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-86-01-01-2019.csv
