outcome,area,country,source_country_name,region,year,observed,expected_median,expected_lower,expected_upper,model_source,excess_median,excess_lower,excess_upper,signed_deviation,observed_expected_ratio,log_observed_expected_ratio
mmr,28,Burundi,Burundi,African Region,2021,446.8,431.392564181,405.638481662,458.300969662,ensemble_top4,15.4074358195,0,41.1615183383,15.4074358195,1.03571558042,0.0350925698732
mmr,28,Burundi,Burundi,African Region,2022,412.3,418.186045703,392.935414202,444.986475897,ensemble_top4,0,0,19.3645857981,-5.88604570327,0.985924815608,-0.0141751792053
mmr,28,Burundi,Burundi,African Region,2023,392,406.102564212,380.499514391,433.388961636,ensemble_top4,0,0,11.5004856092,-14.1025642123,0.965273392844,-0.0353439091205
mmr,29,Cabo Verde,Cabo Verde,African Region,2020,56.01,38.2131614589,31.7531758919,44.1661319224,ensemble_top4,17.7968385411,11.8438680776,24.2568241081,17.7968385411,1.46572536429,0.38235024914
mmr,29,Cabo Verde,Cabo Verde,African Region,2021,55.75,37.1056758543,29.8921248503,43.4434096387,ensemble_top4,18.6443241457,12.3065903613,25.8578751497,18.6443241457,1.50246555861,0.407107464442
mmr,29,Cabo Verde,Cabo Verde,African Region,2022,41.67,36.0565108996,28.0969114004,43.1711496589,ensemble_top4,5.61348910041,0,13.5730885996,5.61348910041,1.15568586534,0.144693990533
mmr,29,Cabo Verde,Cabo Verde,African Region,2023,40.04,35.0428791349,26.6571261286,42.7760296384,ensemble_top4,4.99712086511,0,13.3828738714,4.99712086511,1.14260017979,0.133306524663
mmr,30,Cambodia,Cambodia,Western Pacific Region,2020,164,136.434445416,109.355078273,161.90514866,ensemble_top4,27.5655545838,2.09485134012,54.644921727,27.5655545838,1.20204248641,0.184022181919
mmr,30,Cambodia,Cambodia,Western Pacific Region,2021,188.8,131.423040281,101.339099293,167.655933435,ensemble_top4,57.3769597188,21.144066565,87.4609007068,57.3769597188,1.43658219743,0.362266818426
mmr,30,Cambodia,Cambodia,Western Pacific Region,2022,158.6,127.1246179,93.6904703509,175.651954288,ensemble_top4,31.4753821,0,64.9095296491,31.4753821,1.24759470369,0.22121746054
mmr,30,Cambodia,Cambodia,Western Pacific Region,2023,137.4,122.622537464,86.8774727033,189.758006068,ensemble_top4,14.7774625358,0,50.5225272967,14.7774625358,1.12051179858,0.113785543946
mmr,31,Cameroon,Cameroon,African Region,2020,315.5,323.92761149,300.184092843,354.885649034,ensemble_top4,0,0,15.3159071573,-8.42761148967,0.973983040683,-0.0263613875206
mmr,31,Cameroon,Cameroon,African Region,2021,342.2,304.578472809,279.97389654,337.572873965,ensemble_top4,37.6215271906,4.62712603539,62.2261034603,37.6215271906,1.12351998105,0.116466597134
mmr,31,Cameroon,Cameroon,African Region,2022,276,287.461125372,262.079333094,322.600435741,ensemble_top4,0,0,13.920666906,-11.4611253721,0.960129825008,-0.0406867692806
mmr,31,Cameroon,Cameroon,African Region,2023,258.2,271.687835124,242.30331865,307.625998142,ensemble_top4,0,0,15.8966813497,-13.4878351244,0.950355395492,-0.0509192638279
mmr,32,Canada,Canada,Region of the Americas,2020,16.65,12.5165048757,11.4696915731,13.9137427908,ensemble_top4,4.13349512426,2.73625720922,5.18030842689,4.13349512426,1.33024355963,0.285362053008
mmr,32,Canada,Canada,Region of the Americas,2021,13.58,12.6929646057,11.4991355197,14.8016784829,ensemble_top4,0.88703539434,0,2.08086448026,0.88703539434,1.06988402016,0.0675502502213
mmr,32,Canada,Canada,Region of the Americas,2022,14.64,12.8378544836,11.520055015,15.945473376,ensemble_top4,1.8021455164,0,3.11994498497,1.8021455164,1.14037746874,0.131359320527
mmr,32,Canada,Canada,Region of the Americas,2023,11.78,12.9673714088,11.5966387572,17.6485737485,ensemble_top4,0,0,0.183361242803,-1.18737140879,0.908433916839,-0.0960331325484
mmr,33,Central African Republic,Central African Republic,African Region,2020,1296,1959.71692676,760.250101873,4684.800356,ensemble_top4,0,0,535.749898127,-663.71692676,0.661320001018,-0.413517439759
mmr,33,Central African Republic,Central African Republic,African Region,2021,1127,2235.36594761,723.063464995,6252.04289795,ensemble_top4,0,0,403.936535005,-1108.36594761,0.504168009362,-0.684845714552
mmr,33,Central African Republic,Central African Republic,African Region,2022,840.8,2554.01908871,702.963808073,7342.86433648,ensemble_top4,0,0,137.836191927,-1713.21908871,0.329206623285,-1.11106969105
mmr,33,Central African Republic,Central African Republic,African Region,2023,691.7,2878.70018651,669.809329231,9064.62358372,ensemble_top4,0,0,21.8906707687,-2187.00018651,0.2402820562,-1.42594181152
mmr,34,Chad,Chad,African Region,2020,877.3,919.95265442,708.825596523,1106.34363644,ensemble_top4,0,0,168.474403477,-42.6526544205,0.953636033099,-0.0474731969981
mmr,34,Chad,Chad,African Region,2021,868.6,873.076040153,651.067682665,1084.36573991,ensemble_top4,0,0,217.532317335,-4.4760401525,0.994873252791,-0.00513993406771
mmr,34,Chad,Chad,African Region,2022,775.5,825.847197145,600.052941882,1065.26171868,ensemble_top4,0,0,175.447058118,-50.3471971451,0.939035698954,-0.0629017824416
mmr,34,Chad,Chad,African Region,2023,747.5,781.493083491,548.132789388,1037.48960984,ensemble_top4,0,0,199.367210612,-33.9930834912,0.956502387277,-0.0444719942584
mmr,35,Chile,Chile,Region of the Americas,2020,12.3,9.38453160619,7.76337076864,11.1798625081,ensemble_top4,2.91546839381,1.12013749193,4.53662923136,2.91546839381,1.31066743831,0.270536502355
mmr,35,Chile,Chile,Region of the Americas,2021,14.39,8.57468531815,6.99672453697,10.4603911636,ensemble_top4,5.81531468185,3.92960883639,7.39327546303,5.81531468185,1.67819569653,0.517719226113
mmr,35,Chile,Chile,Region of the Americas,2022,11.71,7.8216672834,6.26421149422,9.79641750182,ensemble_top4,3.8883327166,1.91358249818,5.44578850578,3.8883327166,1.49712325719,0.403545438181
mmr,35,Chile,Chile,Region of the Americas,2023,9.88,7.12490073103,5.53365099835,9.19101573503,ensemble_top4,2.75509926897,0.688984264971,4.34634900165,2.75509926897,1.38668598665,0.32691671819
